aalandais		a.lɑ̃.dɛ	aalandais	NOM	NOM				0.05	0.05	0.05																									
aalandaise		a.lɑ̃.dɛz	aalandaise	ADJ	ADJ				0.05	0.05	0.05																									
aalandaises			aalandaises	ADJ	ADJ				0.05	0.05	0.05																									
aalénien		a.le.njɛ̃	aalénien	ADJ	ADJ				0.05	0.05	0.05																									
aalénienne			aalénienne	ADJ	ADJ				0.05	0.05	0.05																									
aaléniennes			aaléniennes	ADJ	ADJ				0.05	0.05	0.05																									
aaléniens			aaléniens	ADJ	ADJ				0.05	0.05	0.05																									
aaronais		a.a.ʁɔ.nɛ	aaronais	ADJ	ADJ				0.05	0.05	0.05																									
aaronaise		a.a.ʁɔ.nɛz	aaronaise	ADJ	ADJ				0.05	0.05	0.05																									
aaronaises			aaronaises	ADJ	ADJ				0.05	0.05	0.05																									
aaronique		a.a.ʁɔ.nik	aaronique	ADJ	ADJ				0.05	0.05	0.05																									
aaroniques		a.a.ʁɔ.nik	aaroniques	ADJ	ADJ				0.05	0.05	0.05																									
aastais		as.tɛ	aastais	ADJ	ADJ				0.05	0.05	0.05																									
aastaise		a.as.tɛz	aastaise	ADJ	ADJ				0.05	0.05	0.05																									
aastaises			aastaises	ADJ	ADJ				0.05	0.05	0.05																									
ababouiné		a.ba.bwi.ne	ababouiné	ADJ	ADJ				0.05	0.05	0.05																									
ababouinée		a.ba.bwi.ne	ababouinée	ADJ	ADJ				0.05	0.05	0.05																									
ababouinées			ababouinées	ADJ	ADJ				0.05	0.05	0.05																									
ababouinés			ababouinés	ADJ	ADJ				0.05	0.05	0.05																									
abacas		a.ba.ka	abacas	NOM	NOM	m			0.05	0.05	0.05																									
abaciste		a.ba.sist	abaciste	NOM	NOM				0.05	0.05	0.05																									
abacistes			abacistes	NOM	NOM				0.05	0.05	0.05																									
abacost		a.ba.kɔst	abacost	NOM	NOM	m			0.05	0.05	0.05																									
abacosts			abacosts	NOM	NOM	m			0.05	0.05	0.05																									
abactériémique		a.bak.te.ʁje.mik	abactériémique	ADJ	ADJ				0.05	0.05	0.05																									
abactériémiques			abactériémiques	ADJ	ADJ				0.05	0.05	0.05																									
abactérien		a.bak.te.ʁjɛ̃	abactérien	ADJ	ADJ				0.05	0.05	0.05																									
abactérienne		a.bak.te.ʁjɛn	abactérienne	ADJ	ADJ				0.05	0.05	0.05																									
abactériennes			abactériennes	ADJ	ADJ				0.05	0.05	0.05																									
abactériens			abactériens	ADJ	ADJ				0.05	0.05	0.05																									
abacule		a.ba.kyl	abacule	NOM	NOM	m			0.05	0.05	0.05																									
abacules		a.ba.kyl	abacules	NOM	NOM	m			0.05	0.05	0.05																									
abainvillois		a.bɛ̃.vi.lwa	abainvillois	ADJ	ADJ				0.05	0.05	0.05																									
abainvilloise		a.bɛ̃.vij.waz	abainvilloise	ADJ	ADJ				0.05	0.05	0.05																									
abainvilloises			abainvilloises	ADJ	ADJ				0.05	0.05	0.05																									
abaissable		a.bɛ.sabl	abaissable	ADJ	ADJ				0.05	0.05	0.05																									
abaissantes			abaissantes	ADJ	ADJ				0.05	0.05	0.05																									
abaissants		a.bɛ.sɑ̃	abaissants	ADJ	ADJ				0.05	0.05	0.05																									
abaissements		a.bɛs.mɑ̃	abaissements	NOM	NOM	m			0.05	0.05	0.05																									
abaisseuse		a.bɛ.søz	abaisseuse	ADJ	ADJ				0.05	0.05	0.05																									
abaisseuses			abaisseuses	ADJ	ADJ				0.05	0.05	0.05																									
abajoues			abajoues	NOM	NOM	f			0.05	0.05	0.05																									
abaliénation		a.ba.lje.na.sjɔ̃	abaliénation	NOM	NOM	f			0.05	0.05	0.05																									
abaliénations		a.ba.lje.na.sjɔ̃	abaliénations	NOM	NOM	f			0.05	0.05	0.05																									
abancourtois		a.bɑ̃.kuʁ.twa	abancourtois	ADJ	ADJ				0.05	0.05	0.05																									
abancourtoise		a.bɑ̃.kuʁ.twaz	abancourtoise	ADJ	ADJ				0.05	0.05	0.05																									
abancourtoises		a.bɑ̃.kuʁ.twaz	abancourtoises	ADJ	ADJ				0.05	0.05	0.05																									
abandonnable		a.bɑ̃.dɔ.nabl	abandonnable	ADJ	ADJ				0.05	0.05	0.05																									
abandonnables			abandonnables	ADJ	ADJ				0.05	0.05	0.05																									
abandonnataire		a.bɑ̃.dɔ.na.tɛʁ	abandonnataire	NOM	NOM				0.05	0.05	0.05																									
abandonnataires		a.bɑ̃.dɔ.na.tɛʁ	abandonnataires	ADJ	ADJ				0.05	0.05	0.05																									
abandonnateur		a.bɑ̃.dɔ.na.tœʁ	abandonnateur	NOM	NOM				0.05	0.05	0.05																									
abandonnateurs		a.bɑ̃.dɔ.na.tœʁ	abandonnateurs	ADJ	ADJ				0.05	0.05	0.05																									
abandonnatrice		a.bɑ̃.dɔ.na.tʁis	abandonnatrice	ADJ	ADJ				0.05	0.05	0.05																									
abandonnatrices		a.bɑ̃.dɔ.na.tʁis	abandonnatrices	ADJ	ADJ				0.05	0.05	0.05																									
abandonnements		a.bɑ̃.dɔn.mɑ̃	abandonnements	NOM	NOM	m			0.05	0.05	0.05																									
abandonneurs		a.bɑ̃.dɔ.nœʁ	abandonneurs	NOM	NOM				0.05	0.05	0.05																									
abandonneuse		a.bɑ̃.dɔ.nøz	abandonneuse	NOM	NOM				0.05	0.05	0.05																									
abandonnique		a.bɑ̃.dɔ.nik	abandonnique	ADJ	ADJ				0.05	0.05	0.05																									
abandonniques		a.bɑ̃.dɔ.nik	abandonniques	ADJ	ADJ				0.05	0.05	0.05																									
abaques		a.bak	abaques	NOM	NOM	m			0.05	0.05	0.05																									
abarticulaire		a.baʁ.ti.ky.lɛʁ	abarticulaire	ADJ	ADJ				0.05	0.05	0.05																									
abarticulaires			abarticulaires	ADJ	ADJ				0.05	0.05	0.05																									
abasie		a.ba.zi	abasie	NOM	NOM	f			0.05	0.05	0.05																									
abasies		a.ba.zi	abasies	NOM	NOM	f			0.05	0.05	0.05																									
abasourdissantes		a.ba.zuʁ.di.sɑ̃t	abasourdissantes	ADJ	ADJ				0.05	0.05	0.05																									
abasourdissants		a.ba.zuʁ.di.sɑ̃	abasourdissants	ADJ	ADJ				0.05	0.05	0.05																									
abasourdissement		a.ba.zuʁ.dis.mɑ̃	abasourdissement	NOM	NOM	m			0.05	0.05	0.05																									
abasside			abasside	ADJ	ADJ				0.05	0.05	0.05																									
abassides			abassides	ADJ	ADJ				0.05	0.05	0.05																									
abatacept		a.ba.ta.sɛpt	abatacept	NOM	NOM	m			0.05	0.05	0.05																									
abatacepts			abatacepts	NOM	NOM				0.05	0.05	0.05																									
abatants			abatants	NOM	NOM	m			0.05	0.05	0.05																									
abâtardissements		a.ba.taʁ.dis.mɑ̃	abâtardissements	NOM	NOM	m			0.05	0.05	0.05																									
abatée		a.ba.te	abatée	NOM	NOM	f			0.05	0.05	0.05																									
abatées			abatées	NOM	NOM	f			0.05	0.05	0.05																									
abattable		a.ba.tabl	abattable	ADJ	ADJ				0.05	0.05	0.05																									
abattables			abattables	ADJ	ADJ				0.05	0.05	0.05																									
abattantes			abattantes	ADJ	ADJ				0.05	0.05	0.05																									
abatteuse		a.ba.tøz	abatteuse	NOM	NOM	f			0.05	0.05	0.05																									
abatteuses			abatteuses	NOM	NOM	f			0.05	0.05	0.05																									
abattures		a.ba.tyʁ	abattures	NOM	NOM	f			0.05	0.05	0.05																									
abaxial		a.bak.sjal	abaxial	ADJ	ADJ				0.05	0.05	0.05																									
abaxiaux			abaxiaux	ADJ	ADJ				0.05	0.05	0.05																									
abbarois		a.ba.ʁwa	abbarois	ADJ	ADJ				0.05	0.05	0.05																									
abbaroise		a.ba.ʁwaz	abbaroise	ADJ	ADJ				0.05	0.05	0.05																									
abbaroises			abbaroises	ADJ	ADJ				0.05	0.05	0.05																									
abbasside		a.ba.sid	abbasside	ADJ	ADJ				0.05	0.05	0.05																									
abbassides			abbassides	ADJ	ADJ				0.05	0.05	0.05																									
abbatial		a.ba.sjal	abbatial	NOM	NOM				0.05	0.05	0.05																									
abbatiale		a.ba.sjal	abbatiale	NOM	NOM				0.05	0.05	0.05																									
abbatiales			abbatiales	ADJ	ADJ				0.05	0.05	0.05																									
abbatiat		a.ba.sja	abbatiat	NOM	NOM	m			0.05	0.05	0.05																									
abbatiats			abbatiats	NOM	NOM	m			0.05	0.05	0.05																									
abbatiaux		a.ba.sjo	abbatiaux	ADJ	ADJ				0.05	0.05	0.05																									
abbecourtois		ab.kuʁ.twa	abbecourtois	ADJ	ADJ				0.05	0.05	0.05																									
abbecourtoise		ab.kuʁ.twaz	abbecourtoise	ADJ	ADJ				0.05	0.05	0.05																									
abbecourtoises			abbecourtoises	ADJ	ADJ				0.05	0.05	0.05																									
abbenanais		ab.na.nɛ	abbenanais	ADJ	ADJ				0.05	0.05	0.05																									
abbenanaise		a.be.na.nɛz	abbenanaise	ADJ	ADJ				0.05	0.05	0.05																									
abbenanaises			abbenanaises	ADJ	ADJ				0.05	0.05	0.05																									
abbevillien		ab.vi.ljɛ̃	abbevillien	ADJ	ADJ				0.05	0.05	0.05																									
abbevillienne			abbevillienne	ADJ	ADJ				0.05	0.05	0.05																									
abbevilliennes			abbevilliennes	ADJ	ADJ				0.05	0.05	0.05																									
abbevilliens			abbevilliens	ADJ	ADJ				0.05	0.05	0.05																									
abbevillois		ab.vi.lwa	abbevillois	ADJ	ADJ				0.05	0.05	0.05																									
abbevilloise			abbevilloise	ADJ	ADJ				0.05	0.05	0.05																									
abbevilloises			abbevilloises	ADJ	ADJ				0.05	0.05	0.05																									
abcédation			abcédation	NOM	NOM	f			0.05	0.05	0.05																									
abcédations			abcédations	NOM	NOM				0.05	0.05	0.05																									
abcédographie		ap.se.dɔ.ɡʁa.fi	abcédographie	NOM	NOM	f			0.05	0.05	0.05																									
abcédographies			abcédographies	NOM	NOM	f			0.05	0.05	0.05																									
abdicataire		ab.di.ka.tɛʁ	abdicataire	ADJ	ADJ				0.05	0.05	0.05																									
abdicataires			abdicataires	ADJ	ADJ				0.05	0.05	0.05																									
abdicatif		ab.di.ka.tif	abdicatif	ADJ	ADJ				0.05	0.05	0.05																									
abdicatifs			abdicatifs	ADJ	ADJ				0.05	0.05	0.05																									
abdications		ab.di.ka.sjɔ̃	abdications	NOM	NOM	f			0.05	0.05	0.05																									
abdicative			abdicative	ADJ	ADJ				0.05	0.05	0.05																									
abdicatives		ab.di.ka.tiv	abdicatives	ADJ	ADJ				0.05	0.05	0.05																									
abducens		ab.dy.sɛns	abducens	NOM	NOM	m			0.05	0.05	0.05																									
abductif		ab.dyk.tif	abductif	ADJ	ADJ				0.05	0.05	0.05																									
abductifs			abductifs	ADJ	ADJ				0.05	0.05	0.05																									
abductive			abductive	ADJ	ADJ				0.05	0.05	0.05																									
abductives			abductives	ADJ	ADJ				0.05	0.05	0.05																									
abductrice		ab.dyk.tʁis	abductrice	ADJ	ADJ				0.05	0.05	0.05																									
abductrices		ab.dyk.tʁis	abductrices	ADJ	ADJ				0.05	0.05	0.05																									
abeillage		a.bɛ.jaʒ	abeillage	NOM	NOM	m			0.05	0.05	0.05																									
abeillages			abeillages	NOM	NOM				0.05	0.05	0.05																									
abeillère			abeillère	ADJ	ADJ				0.05	0.05	0.05																									
abeillères			abeillères	ADJ	ADJ				0.05	0.05	0.05																									
abeillier		a.bɛ.je	abeillier	NOM	NOM	m			0.05	0.05	0.05																									
abeilliers		a.bɛ.je	abeilliers	NOM	NOM	m			0.05	0.05	0.05																									
abelias			abelias	NOM	NOM	m			0.05	0.05	0.05																									
abélie		a.be.li	abélie	NOM	NOM	f			0.05	0.05	0.05																									
abélien		a.be.ljɛ̃	abélien	ADJ	ADJ				0.05	0.05	0.05																									
abélienne			abélienne	ADJ	ADJ				0.05	0.05	0.05																									
abéliennes			abéliennes	ADJ	ADJ				0.05	0.05	0.05																									
abélies			abélies	NOM	NOM	f			0.05	0.05	0.05																									
abélite		a.be.lit	abélite	NOM	NOM				0.05	0.05	0.05																									
abélites			abélites	NOM	NOM				0.05	0.05	0.05																									
abélonien		a.be.lɔ.njɛ̃	abélonien	NOM	NOM	m			0.05	0.05	0.05																									
abéloniens			abéloniens	NOM	NOM	m			0.05	0.05	0.05																									
abelsonite			abelsonite	NOM	NOM	f			0.05	0.05	0.05																									
abelsonites			abelsonites	NOM	NOM				0.05	0.05	0.05																									
abénaquis		a.be.na.ki	abénaquis	NOM	NOM				0.05	0.05	0.05																									
abénaquise			abénaquise	ADJ	ADJ				0.05	0.05	0.05																									
abénaquises			abénaquises	ADJ	ADJ				0.05	0.05	0.05																									
